"Num.of.Individuals","Num.of.Markers","Type","accuracy","SD","Comparison"
13,10,"T",1,0,Amur_Bengal
13,20,"T",1,0,Amur_Bengal
13,30,"T",1,0,Amur_Bengal
13,40,"T",1,0,Amur_Bengal
13,50,"T",1,0,Amur_Bengal
13,60,"T",1,0,Amur_Bengal
13,70,"T",1,0,Amur_Bengal
13,80,"T",1,0,Amur_Bengal
13,90,"T",1,0,Amur_Bengal
13,100,"T",1,0,Amur_Bengal
13,10,"R",0.917307692307692,0.0651699261736857,Amur_Bengal
13,20,"R",0.967307692307692,0.0503414068211743,Amur_Bengal
13,30,"R",0.988461538461539,0.0219707911760569,Amur_Bengal
13,40,"R",1,0,Amur_Bengal
13,50,"R",0.998076923076923,0.00860026145192226,Amur_Bengal
13,60,"R",0.998076923076923,0.00860026145192226,Amur_Bengal
13,70,"R",0.998076923076923,0.00860026145192226,Amur_Bengal
13,80,"R",1,0,Amur_Bengal
13,90,"R",1,0,Amur_Bengal
13,100,"R",1,0,Amur_Bengal
13,10,"T",1,0,Amur_Generic
13,20,"T",1,0,Amur_Generic
13,30,"T",1,0,Amur_Generic
13,40,"T",1,0,Amur_Generic
13,50,"T",1,0,Amur_Generic
13,60,"T",1,0,Amur_Generic
13,70,"T",1,0,Amur_Generic
13,80,"T",1,0,Amur_Generic
13,90,"T",1,0,Amur_Generic
13,100,"T",1,0,Amur_Generic
13,10,"R",0.844230769230769,0.0813263990522702,Amur_Generic
13,20,"R",0.919230769230769,0.0570476806699666,Amur_Generic
13,30,"R",0.967307692307692,0.0380033436218494,Amur_Generic
13,40,"R",0.982692307692308,0.0232617430318961,Amur_Generic
13,50,"R",0.992307692307692,0.0157842823397716,Amur_Generic
13,60,"R",0.998076923076923,0.00860026145192226,Amur_Generic
13,70,"R",0.996153846153846,0.0118382117548287,Amur_Generic
13,80,"R",1,0,Amur_Generic
13,90,"R",1,0,Amur_Generic
13,100,"R",1,0,Amur_Generic
10,10,"T",1,0,Yorkie_Lab
10,20,"T",1,0,Yorkie_Lab
10,30,"T",1,0,Yorkie_Lab
10,40,"T",1,0,Yorkie_Lab
10,50,"T",1,0,Yorkie_Lab
10,60,"T",1,0,Yorkie_Lab
10,70,"T",1,0,Yorkie_Lab
10,80,"T",1,0,Yorkie_Lab
10,90,"T",1,0,Yorkie_Lab
10,100,"T",1,0,Yorkie_Lab
20,10,"T",1,0,Yorkie_Lab
20,20,"T",1,0,Yorkie_Lab
20,30,"T",1,0,Yorkie_Lab
20,40,"T",1,0,Yorkie_Lab
20,50,"T",1,0,Yorkie_Lab
20,60,"T",1,0,Yorkie_Lab
20,70,"T",1,0,Yorkie_Lab
20,80,"T",1,0,Yorkie_Lab
20,90,"T",1,0,Yorkie_Lab
20,100,"T",1,0,Yorkie_Lab
30,10,"T",1,0,Yorkie_Lab
